"site","seasonal","rms.signal","rms.noise","rms.ratio","rms.snr"
"07103700",1,0.0830336671003135,0.00395342025199645,21.0029953325559,60.893301248713
"07105500",1,0.0617199946105011,0.00309638509327989,19.9329194370728,59.847452160929
"07105800",1,0.0445276875080542,0.00191534270389541,23.2478957512378,62.9242924522881
"07106300",1,0.040897424635235,0.00303532685649796,13.4738123993739,52.014959585678
"07106500",1,0.0452744803494018,0.00298722602727166,15.1560276778763,54.3679663870794
"07109500",1,0.0662771190772057,0.00176425861333767,37.566555478973,72.5222834525968
"08313000",1,0.0509605801963627,0.00138239009989157,36.8641096318324,72.1447687804558
"08330000",1,0.0602026720404485,0.00195637018732348,30.772638241238,68.5325185271029
"08354900",1,0.0820180810079759,0.00410196547527268,19.9948247985982,59.9094695999948
"08355490",1,0.191972024117462,0.0100308437982768,19.1381730169541,59.0336985561831
"08358400",1,0.165072172855699,0.00621899582786391,26.5432197455578,65.5754867651717
"09095500",1,0.0459307786598194,0.00123707955433498,37.1283952587111,72.2876409544245
"09152500",1,0.0376751451463089,0.00123696399941605,30.4577539557292,68.3268121449518
"09163500",1,0.0380507229091571,0.00111180521390489,34.2242709723542,70.6587013984147
"09261000",1,0.0495217747294082,0.00133140646785089,37.1950834889247,72.3235317653683
